Grade Level,2013,2012,2011,2010,2009
K,81530,80258,77919,75998,74645
First,83345,80497,79022,78080,77336
Second,80436,78779,78445,77539,75989
Third,79228,78595,78018,76503,77762
Fourth,78929,78154,77168,78445,78185
Fifth,78534,77242,79081,78315,78051
Sixth,77672,78881,79211,78296,77611
Seventh,79452,79385,79058,78512,77680
Eighth,79984,79306,78995,77628,77263
Ninth,83313,84088,84457,84113,85608
Tenth,81442,80938,80599,81966,81266
Eleventh,79771,78971,80075,79874,79642
Twelfth,84217,84121,82884,83818,83683
